Layer,Projection,Eigenvalue Magnitude
Encoder_Layer_1,k_proj,1.1661177
Encoder_Layer_1,k_proj,1.1661177
Encoder_Layer_1,k_proj,1.1418571
Encoder_Layer_1,k_proj,1.1418571
Encoder_Layer_1,k_proj,1.1501459
Encoder_Layer_1,k_proj,1.1356899
Encoder_Layer_1,k_proj,1.1356899
Encoder_Layer_1,k_proj,1.1219376
Encoder_Layer_1,k_proj,1.1219376
Encoder_Layer_1,k_proj,1.1382518
Encoder_Layer_1,k_proj,1.1382518
Encoder_Layer_1,k_proj,1.1046124
Encoder_Layer_1,k_proj,1.1046124
Encoder_Layer_1,k_proj,1.1143868
Encoder_Layer_1,k_proj,1.1143868
Encoder_Layer_1,k_proj,1.1035737
Encoder_Layer_1,k_proj,1.1035737
Encoder_Layer_1,k_proj,1.1177393
Encoder_Layer_1,k_proj,1.1177393
Encoder_Layer_1,k_proj,1.1186315
Encoder_Layer_1,k_proj,1.1186315
Encoder_Layer_1,k_proj,1.1152699
Encoder_Layer_1,k_proj,1.1152699
Encoder_Layer_1,k_proj,1.0954537
Encoder_Layer_1,k_proj,1.0954537
Encoder_Layer_1,k_proj,1.091453
Encoder_Layer_1,k_proj,1.091453
Encoder_Layer_1,k_proj,1.0819298
Encoder_Layer_1,k_proj,1.0819298
Encoder_Layer_1,k_proj,1.0792947
Encoder_Layer_1,k_proj,1.0792947
Encoder_Layer_1,k_proj,1.0461875
Encoder_Layer_1,k_proj,1.0461875
Encoder_Layer_1,k_proj,1.0695392
Encoder_Layer_1,k_proj,1.0695392
Encoder_Layer_1,k_proj,1.0578237
Encoder_Layer_1,k_proj,1.0578237
Encoder_Layer_1,k_proj,1.0534246
Encoder_Layer_1,k_proj,1.0534246
Encoder_Layer_1,k_proj,1.0591303
Encoder_Layer_1,k_proj,1.0591303
Encoder_Layer_1,k_proj,1.068762
Encoder_Layer_1,k_proj,1.0321153
Encoder_Layer_1,k_proj,1.0321153
Encoder_Layer_1,k_proj,1.0281969
Encoder_Layer_1,k_proj,1.0281969
Encoder_Layer_1,k_proj,1.025123
Encoder_Layer_1,k_proj,1.025123
Encoder_Layer_1,k_proj,1.0348028
Encoder_Layer_1,k_proj,1.0348028
Encoder_Layer_1,k_proj,1.0090084
Encoder_Layer_1,k_proj,1.0090084
Encoder_Layer_1,k_proj,1.0339383
Encoder_Layer_1,k_proj,0.99626666
Encoder_Layer_1,k_proj,0.99626666
Encoder_Layer_1,k_proj,1.0284653
Encoder_Layer_1,k_proj,1.0284653
Encoder_Layer_1,k_proj,1.0375367
Encoder_Layer_1,k_proj,1.0375367
Encoder_Layer_1,k_proj,1.0419778
Encoder_Layer_1,k_proj,1.0419778
Encoder_Layer_1,k_proj,1.02459
Encoder_Layer_1,k_proj,1.02459
Encoder_Layer_1,k_proj,0.9889591
Encoder_Layer_1,k_proj,0.9889591
Encoder_Layer_1,k_proj,1.0304227
Encoder_Layer_1,k_proj,1.0304227
Encoder_Layer_1,k_proj,1.0093265
Encoder_Layer_1,k_proj,1.0093265
Encoder_Layer_1,k_proj,0.9958431
Encoder_Layer_1,k_proj,0.9958431
Encoder_Layer_1,k_proj,0.98354185
Encoder_Layer_1,k_proj,0.98354185
Encoder_Layer_1,k_proj,1.0132298
Encoder_Layer_1,k_proj,1.0132298
Encoder_Layer_1,k_proj,1.0168198
Encoder_Layer_1,k_proj,1.0168198
Encoder_Layer_1,k_proj,1.0139635
Encoder_Layer_1,k_proj,1.0139635
Encoder_Layer_1,k_proj,0.9838612
Encoder_Layer_1,k_proj,0.9838612
Encoder_Layer_1,k_proj,0.9571478
Encoder_Layer_1,k_proj,0.9571478
Encoder_Layer_1,k_proj,1.0076699
Encoder_Layer_1,k_proj,1.0076699
Encoder_Layer_1,k_proj,0.99036205
Encoder_Layer_1,k_proj,0.99036205
Encoder_Layer_1,k_proj,1.0025047
Encoder_Layer_1,k_proj,1.0025047
Encoder_Layer_1,k_proj,0.97842264
Encoder_Layer_1,k_proj,0.97842264
Encoder_Layer_1,k_proj,0.9186881
Encoder_Layer_1,k_proj,0.9186881
Encoder_Layer_1,k_proj,0.9193233
Encoder_Layer_1,k_proj,0.9193233
Encoder_Layer_1,k_proj,0.9802991
Encoder_Layer_1,k_proj,0.9802991
Encoder_Layer_1,k_proj,0.97533405
Encoder_Layer_1,k_proj,0.97533405
Encoder_Layer_1,k_proj,0.96492827
Encoder_Layer_1,k_proj,0.96492827
Encoder_Layer_1,k_proj,0.935201
Encoder_Layer_1,k_proj,0.935201
Encoder_Layer_1,k_proj,0.94015294
Encoder_Layer_1,k_proj,0.94015294
Encoder_Layer_1,k_proj,0.92882735
Encoder_Layer_1,k_proj,0.92882735
Encoder_Layer_1,k_proj,0.93293875
Encoder_Layer_1,k_proj,0.93293875
Encoder_Layer_1,k_proj,0.9405594
Encoder_Layer_1,k_proj,0.9405594
Encoder_Layer_1,k_proj,0.92380494
Encoder_Layer_1,k_proj,0.92380494
Encoder_Layer_1,k_proj,0.9150548
Encoder_Layer_1,k_proj,0.9150548
Encoder_Layer_1,k_proj,0.902967
Encoder_Layer_1,k_proj,0.902967
Encoder_Layer_1,k_proj,0.92702836
Encoder_Layer_1,k_proj,0.92702836
Encoder_Layer_1,k_proj,0.88448966
Encoder_Layer_1,k_proj,0.88448966
Encoder_Layer_1,k_proj,0.93098676
Encoder_Layer_1,k_proj,0.93098676
Encoder_Layer_1,k_proj,0.93208456
Encoder_Layer_1,k_proj,0.93208456
Encoder_Layer_1,k_proj,0.89169854
Encoder_Layer_1,k_proj,0.89169854
Encoder_Layer_1,k_proj,0.8682939
Encoder_Layer_1,k_proj,0.8682939
Encoder_Layer_1,k_proj,0.9102114
Encoder_Layer_1,k_proj,0.9102114
Encoder_Layer_1,k_proj,0.8648373
Encoder_Layer_1,k_proj,0.8648373
Encoder_Layer_1,k_proj,0.87292796
Encoder_Layer_1,k_proj,0.87292796
Encoder_Layer_1,k_proj,0.86072576
Encoder_Layer_1,k_proj,0.8686925
Encoder_Layer_1,k_proj,0.8686925
Encoder_Layer_1,k_proj,0.866954
Encoder_Layer_1,k_proj,0.866954
Encoder_Layer_1,k_proj,0.8770832
Encoder_Layer_1,k_proj,0.8770832
Encoder_Layer_1,k_proj,0.83561635
Encoder_Layer_1,k_proj,0.83561635
Encoder_Layer_1,k_proj,0.8917993
Encoder_Layer_1,k_proj,0.8917993
Encoder_Layer_1,k_proj,0.85242176
Encoder_Layer_1,k_proj,0.85242176
Encoder_Layer_1,k_proj,0.8353112
Encoder_Layer_1,k_proj,0.8353112
Encoder_Layer_1,k_proj,0.8555986
Encoder_Layer_1,k_proj,0.8555986
Encoder_Layer_1,k_proj,0.84600157
Encoder_Layer_1,k_proj,0.8250753
Encoder_Layer_1,k_proj,0.8250753
Encoder_Layer_1,k_proj,0.8308693
Encoder_Layer_1,k_proj,0.8308693
Encoder_Layer_1,k_proj,0.8196668
Encoder_Layer_1,k_proj,0.8196668
Encoder_Layer_1,k_proj,0.85694665
Encoder_Layer_1,k_proj,0.85694665
Encoder_Layer_1,k_proj,0.7706139
Encoder_Layer_1,k_proj,0.7706139
Encoder_Layer_1,k_proj,0.81602854
Encoder_Layer_1,k_proj,0.81602854
Encoder_Layer_1,k_proj,0.8151108
Encoder_Layer_1,k_proj,0.8151108
Encoder_Layer_1,k_proj,0.81740385
Encoder_Layer_1,k_proj,0.81740385
Encoder_Layer_1,k_proj,0.7984181
Encoder_Layer_1,k_proj,0.7984181
Encoder_Layer_1,k_proj,0.76893044
Encoder_Layer_1,k_proj,0.76893044
Encoder_Layer_1,k_proj,0.7554221
Encoder_Layer_1,k_proj,0.7554221
Encoder_Layer_1,k_proj,0.74984175
Encoder_Layer_1,k_proj,0.7524692
Encoder_Layer_1,k_proj,0.7524692
Encoder_Layer_1,k_proj,0.8229308
Encoder_Layer_1,k_proj,0.8229308
Encoder_Layer_1,k_proj,0.7970029
Encoder_Layer_1,k_proj,0.7970029
Encoder_Layer_1,k_proj,0.73214334
Encoder_Layer_1,k_proj,0.73214334
Encoder_Layer_1,k_proj,0.71503365
Encoder_Layer_1,k_proj,0.71503365
Encoder_Layer_1,k_proj,0.77524084
Encoder_Layer_1,k_proj,0.77524084
Encoder_Layer_1,k_proj,0.77216417
Encoder_Layer_1,k_proj,0.77216417
Encoder_Layer_1,k_proj,0.78740114
Encoder_Layer_1,k_proj,0.78740114
Encoder_Layer_1,k_proj,0.75676495
Encoder_Layer_1,k_proj,0.75676495
Encoder_Layer_1,k_proj,0.74872035
Encoder_Layer_1,k_proj,0.74872035
Encoder_Layer_1,k_proj,0.74711686
Encoder_Layer_1,k_proj,0.74711686
Encoder_Layer_1,k_proj,0.74596876
Encoder_Layer_1,k_proj,0.74596876
Encoder_Layer_1,k_proj,0.75026584
Encoder_Layer_1,k_proj,0.75026584
Encoder_Layer_1,k_proj,0.7273787
Encoder_Layer_1,k_proj,0.7273787
Encoder_Layer_1,k_proj,0.72821456
Encoder_Layer_1,k_proj,0.72821456
Encoder_Layer_1,k_proj,0.70626706
Encoder_Layer_1,k_proj,0.70626706
Encoder_Layer_1,k_proj,0.71063113
Encoder_Layer_1,k_proj,0.71063113
Encoder_Layer_1,k_proj,0.7031646
Encoder_Layer_1,k_proj,0.7031646
Encoder_Layer_1,k_proj,0.70340896
Encoder_Layer_1,k_proj,0.70340896
Encoder_Layer_1,k_proj,0.69104975
Encoder_Layer_1,k_proj,0.69104975
Encoder_Layer_1,k_proj,0.70540285
Encoder_Layer_1,k_proj,0.6833652
Encoder_Layer_1,k_proj,0.6833652
Encoder_Layer_1,k_proj,0.70368767
Encoder_Layer_1,k_proj,0.70368767
Encoder_Layer_1,k_proj,0.70925546
Encoder_Layer_1,k_proj,0.6676666
Encoder_Layer_1,k_proj,0.6676666
Encoder_Layer_1,k_proj,0.6888066
Encoder_Layer_1,k_proj,0.6888066
Encoder_Layer_1,k_proj,0.7050236
Encoder_Layer_1,k_proj,0.7050236
Encoder_Layer_1,k_proj,0.63396466
Encoder_Layer_1,k_proj,0.63396466
Encoder_Layer_1,k_proj,0.67910355
Encoder_Layer_1,k_proj,0.67910355
Encoder_Layer_1,k_proj,0.6724761
Encoder_Layer_1,k_proj,0.6565507
Encoder_Layer_1,k_proj,0.6565507
Encoder_Layer_1,k_proj,0.6425227
Encoder_Layer_1,k_proj,0.6425227
Encoder_Layer_1,k_proj,0.6426637
Encoder_Layer_1,k_proj,0.6426637
Encoder_Layer_1,k_proj,0.6401214
Encoder_Layer_1,k_proj,0.6401214
Encoder_Layer_1,k_proj,0.60393804
Encoder_Layer_1,k_proj,0.60393804
Encoder_Layer_1,k_proj,0.6227681
Encoder_Layer_1,k_proj,0.6227681
Encoder_Layer_1,k_proj,0.614878
Encoder_Layer_1,k_proj,0.614878
Encoder_Layer_1,k_proj,0.6136287
Encoder_Layer_1,k_proj,0.6136287
Encoder_Layer_1,k_proj,0.58966374
Encoder_Layer_1,k_proj,0.58966374
Encoder_Layer_1,k_proj,0.5572264
Encoder_Layer_1,k_proj,0.5572264
Encoder_Layer_1,k_proj,0.57947224
Encoder_Layer_1,k_proj,0.57947224
Encoder_Layer_1,k_proj,0.5638332
Encoder_Layer_1,k_proj,0.5638332
Encoder_Layer_1,k_proj,0.565643
Encoder_Layer_1,k_proj,0.565643
Encoder_Layer_1,k_proj,0.55758125
Encoder_Layer_1,k_proj,0.55758125
Encoder_Layer_1,k_proj,0.5597298
Encoder_Layer_1,k_proj,0.5597298
Encoder_Layer_1,k_proj,0.54395425
Encoder_Layer_1,k_proj,0.54395425
Encoder_Layer_1,k_proj,0.5505011
Encoder_Layer_1,k_proj,0.5505011
Encoder_Layer_1,k_proj,0.55214673
Encoder_Layer_1,k_proj,0.55214673
Encoder_Layer_1,k_proj,0.562671
Encoder_Layer_1,k_proj,0.53449017
Encoder_Layer_1,k_proj,0.53449017
Encoder_Layer_1,k_proj,0.5474842
Encoder_Layer_1,k_proj,0.5474842
Encoder_Layer_1,k_proj,0.5355142
Encoder_Layer_1,k_proj,0.5355142
Encoder_Layer_1,k_proj,0.5425061
Encoder_Layer_1,k_proj,0.52385944
Encoder_Layer_1,k_proj,0.52385944
Encoder_Layer_1,k_proj,0.5262522
Encoder_Layer_1,k_proj,0.5262522
Encoder_Layer_1,k_proj,0.52311814
Encoder_Layer_1,k_proj,0.52311814
Encoder_Layer_1,k_proj,0.51263595
Encoder_Layer_1,k_proj,0.51263595
Encoder_Layer_1,k_proj,0.51817334
Encoder_Layer_1,k_proj,0.51817334
Encoder_Layer_1,k_proj,0.51965386
Encoder_Layer_1,k_proj,0.51965386
Encoder_Layer_1,k_proj,0.5029625
Encoder_Layer_1,k_proj,0.5029625
Encoder_Layer_1,k_proj,0.51324016
Encoder_Layer_1,k_proj,0.51324016
Encoder_Layer_1,k_proj,0.49617574
Encoder_Layer_1,k_proj,0.49617574
Encoder_Layer_1,k_proj,0.48966792
Encoder_Layer_1,k_proj,0.48966792
Encoder_Layer_1,k_proj,0.48438424
Encoder_Layer_1,k_proj,0.48438424
Encoder_Layer_1,k_proj,0.48124027
Encoder_Layer_1,k_proj,0.46137762
Encoder_Layer_1,k_proj,0.46137762
Encoder_Layer_1,k_proj,0.4655293
Encoder_Layer_1,k_proj,0.4655293
Encoder_Layer_1,k_proj,0.4852782
Encoder_Layer_1,k_proj,0.4852782
Encoder_Layer_1,k_proj,0.45673427
Encoder_Layer_1,k_proj,0.45673427
Encoder_Layer_1,k_proj,0.46239692
Encoder_Layer_1,k_proj,0.42574596
Encoder_Layer_1,k_proj,0.42574596
Encoder_Layer_1,k_proj,0.40760648
Encoder_Layer_1,k_proj,0.40760648
Encoder_Layer_1,k_proj,0.40253997
Encoder_Layer_1,k_proj,0.40253997
Encoder_Layer_1,k_proj,0.391818
Encoder_Layer_1,k_proj,0.391818
Encoder_Layer_1,k_proj,0.4361705
Encoder_Layer_1,k_proj,0.4361705
Encoder_Layer_1,k_proj,0.43520468
Encoder_Layer_1,k_proj,0.41232774
Encoder_Layer_1,k_proj,0.4024794
Encoder_Layer_1,k_proj,0.4024794
Encoder_Layer_1,k_proj,0.39025536
Encoder_Layer_1,k_proj,0.39025536
Encoder_Layer_1,k_proj,0.3913893
Encoder_Layer_1,k_proj,0.3913893
Encoder_Layer_1,k_proj,0.39302844
Encoder_Layer_1,k_proj,0.39302844
Encoder_Layer_1,k_proj,0.37144366
Encoder_Layer_1,k_proj,0.37144366
Encoder_Layer_1,k_proj,0.38338593
Encoder_Layer_1,k_proj,0.38338593
Encoder_Layer_1,k_proj,0.3485471
Encoder_Layer_1,k_proj,0.3485471
Encoder_Layer_1,k_proj,0.36372215
Encoder_Layer_1,k_proj,0.36372215
Encoder_Layer_1,k_proj,0.3498043
Encoder_Layer_1,k_proj,0.33871374
Encoder_Layer_1,k_proj,0.33871374
Encoder_Layer_1,k_proj,0.33165285
Encoder_Layer_1,k_proj,0.33165285
Encoder_Layer_1,k_proj,0.34076762
Encoder_Layer_1,k_proj,0.34076762
Encoder_Layer_1,k_proj,0.3383504
Encoder_Layer_1,k_proj,0.3383504
Encoder_Layer_1,k_proj,0.32892874
Encoder_Layer_1,k_proj,0.32892874
Encoder_Layer_1,k_proj,0.32256815
Encoder_Layer_1,k_proj,0.32256815
Encoder_Layer_1,k_proj,0.34456193
Encoder_Layer_1,k_proj,0.33006367
Encoder_Layer_1,k_proj,0.33006367
Encoder_Layer_1,k_proj,0.32109424
Encoder_Layer_1,k_proj,0.32109424
Encoder_Layer_1,k_proj,0.30652204
Encoder_Layer_1,k_proj,0.29227018
Encoder_Layer_1,k_proj,0.29227018
Encoder_Layer_1,k_proj,0.28484744
Encoder_Layer_1,k_proj,0.2573824
Encoder_Layer_1,k_proj,0.2573824
Encoder_Layer_1,k_proj,0.25914037
Encoder_Layer_1,k_proj,0.25914037
Encoder_Layer_1,k_proj,0.25326374
Encoder_Layer_1,k_proj,0.25326374
Encoder_Layer_1,k_proj,0.23512234
Encoder_Layer_1,k_proj,0.23512234
Encoder_Layer_1,k_proj,0.28314403
Encoder_Layer_1,k_proj,0.28314403
Encoder_Layer_1,k_proj,0.22665215
Encoder_Layer_1,k_proj,0.22665215
Encoder_Layer_1,k_proj,0.23155671
Encoder_Layer_1,k_proj,0.23155671
Encoder_Layer_1,k_proj,0.214777
Encoder_Layer_1,k_proj,0.214777
Encoder_Layer_1,k_proj,0.2283315
Encoder_Layer_1,k_proj,0.2283315
Encoder_Layer_1,k_proj,0.18532498
Encoder_Layer_1,k_proj,0.22604965
Encoder_Layer_1,k_proj,0.22604965
Encoder_Layer_1,k_proj,0.18352234
Encoder_Layer_1,k_proj,0.18352234
Encoder_Layer_1,k_proj,0.17582811
Encoder_Layer_1,k_proj,0.17582811
Encoder_Layer_1,k_proj,0.17705245
Encoder_Layer_1,k_proj,0.17705245
Encoder_Layer_1,k_proj,0.15454936
Encoder_Layer_1,k_proj,0.15454936
Encoder_Layer_1,k_proj,0.1656696
Encoder_Layer_1,k_proj,0.1656696
Encoder_Layer_1,k_proj,0.03670994
Encoder_Layer_1,k_proj,0.13978386
Encoder_Layer_1,k_proj,0.13978386
Encoder_Layer_1,k_proj,0.14354597
Encoder_Layer_1,k_proj,0.14354597
Encoder_Layer_1,k_proj,0.11676664
Encoder_Layer_1,k_proj,0.11676664
Encoder_Layer_1,k_proj,0.06651264
Encoder_Layer_1,k_proj,0.06651264
Encoder_Layer_1,k_proj,0.09839941
Encoder_Layer_1,k_proj,0.09839941
Encoder_Layer_1,k_proj,0.058507644
Encoder_Layer_1,k_proj,0.058507644
Encoder_Layer_1,q_proj,1.4743626
Encoder_Layer_1,q_proj,1.4743626
Encoder_Layer_1,q_proj,1.454797
Encoder_Layer_1,q_proj,1.454797
Encoder_Layer_1,q_proj,1.4008132
Encoder_Layer_1,q_proj,1.4008132
Encoder_Layer_1,q_proj,1.3981447
Encoder_Layer_1,q_proj,1.3981447
Encoder_Layer_1,q_proj,1.3900031
Encoder_Layer_1,q_proj,1.3900031
Encoder_Layer_1,q_proj,1.3533915
Encoder_Layer_1,q_proj,1.3533915
Encoder_Layer_1,q_proj,1.3486228
Encoder_Layer_1,q_proj,1.3486228
Encoder_Layer_1,q_proj,1.3060632
Encoder_Layer_1,q_proj,1.3060632
Encoder_Layer_1,q_proj,1.3166351
Encoder_Layer_1,q_proj,1.3166351
Encoder_Layer_1,q_proj,1.3116003
Encoder_Layer_1,q_proj,1.3116003
Encoder_Layer_1,q_proj,1.30858
Encoder_Layer_1,q_proj,1.30858
Encoder_Layer_1,q_proj,1.3009771
Encoder_Layer_1,q_proj,1.3009771
Encoder_Layer_1,q_proj,1.2907317
Encoder_Layer_1,q_proj,1.2907317
Encoder_Layer_1,q_proj,1.2776678
Encoder_Layer_1,q_proj,1.2776678
Encoder_Layer_1,q_proj,1.2451484
Encoder_Layer_1,q_proj,1.2451484
Encoder_Layer_1,q_proj,1.3799365
Encoder_Layer_1,q_proj,1.3799365
Encoder_Layer_1,q_proj,1.3274695
Encoder_Layer_1,q_proj,1.3274695
Encoder_Layer_1,q_proj,1.3791118
Encoder_Layer_1,q_proj,1.3791118
Encoder_Layer_1,q_proj,1.3630642
Encoder_Layer_1,q_proj,1.3630642
Encoder_Layer_1,q_proj,1.368036
Encoder_Layer_1,q_proj,1.368036
Encoder_Layer_1,q_proj,1.3241006
Encoder_Layer_1,q_proj,1.3241006
Encoder_Layer_1,q_proj,1.3305472
Encoder_Layer_1,q_proj,1.3305472
Encoder_Layer_1,q_proj,1.3521925
Encoder_Layer_1,q_proj,1.3521925
Encoder_Layer_1,q_proj,1.2882773
Encoder_Layer_1,q_proj,1.2882773
Encoder_Layer_1,q_proj,1.3213277
Encoder_Layer_1,q_proj,1.3213277
Encoder_Layer_1,q_proj,1.3368044
Encoder_Layer_1,q_proj,1.3368044
Encoder_Layer_1,q_proj,1.2779803
Encoder_Layer_1,q_proj,1.2779803
Encoder_Layer_1,q_proj,1.4272027
Encoder_Layer_1,q_proj,1.3531085
Encoder_Layer_1,q_proj,1.3531085
Encoder_Layer_1,q_proj,1.3561847
Encoder_Layer_1,q_proj,1.3561847
Encoder_Layer_1,q_proj,1.3098006
Encoder_Layer_1,q_proj,1.3098006
Encoder_Layer_1,q_proj,1.334895
Encoder_Layer_1,q_proj,1.334895
Encoder_Layer_1,q_proj,1.2730426
Encoder_Layer_1,q_proj,1.294598
Encoder_Layer_1,q_proj,1.294598
Encoder_Layer_1,q_proj,1.2504874
Encoder_Layer_1,q_proj,1.2504874
Encoder_Layer_1,q_proj,1.2877346
Encoder_Layer_1,q_proj,1.2877346
Encoder_Layer_1,q_proj,1.2362889
Encoder_Layer_1,q_proj,1.2362889
Encoder_Layer_1,q_proj,1.2453299
Encoder_Layer_1,q_proj,1.2453299
Encoder_Layer_1,q_proj,1.2319571
Encoder_Layer_1,q_proj,1.2319571
Encoder_Layer_1,q_proj,1.2605524
Encoder_Layer_1,q_proj,1.2605524
Encoder_Layer_1,q_proj,1.2042286
Encoder_Layer_1,q_proj,1.2042286
Encoder_Layer_1,q_proj,1.2256609
Encoder_Layer_1,q_proj,1.2256609
Encoder_Layer_1,q_proj,1.2449274
Encoder_Layer_1,q_proj,1.2449274
Encoder_Layer_1,q_proj,1.237075
Encoder_Layer_1,q_proj,1.237075
Encoder_Layer_1,q_proj,1.2588818
Encoder_Layer_1,q_proj,1.2588818
Encoder_Layer_1,q_proj,1.2326975
Encoder_Layer_1,q_proj,1.2326975
Encoder_Layer_1,q_proj,1.2260624
Encoder_Layer_1,q_proj,1.2260624
Encoder_Layer_1,q_proj,1.1838582
Encoder_Layer_1,q_proj,1.1838582
Encoder_Layer_1,q_proj,1.1844784
Encoder_Layer_1,q_proj,1.1844784
Encoder_Layer_1,q_proj,1.2243845
Encoder_Layer_1,q_proj,1.2243845
Encoder_Layer_1,q_proj,1.1886272
Encoder_Layer_1,q_proj,1.1886272
Encoder_Layer_1,q_proj,1.2267841
Encoder_Layer_1,q_proj,1.2267841
Encoder_Layer_1,q_proj,1.1915103
Encoder_Layer_1,q_proj,1.1915103
Encoder_Layer_1,q_proj,1.2087259
Encoder_Layer_1,q_proj,1.2087259
Encoder_Layer_1,q_proj,1.1635844
Encoder_Layer_1,q_proj,1.1635844
Encoder_Layer_1,q_proj,1.1451682
Encoder_Layer_1,q_proj,1.1451682
Encoder_Layer_1,q_proj,1.1626039
Encoder_Layer_1,q_proj,1.1626039
Encoder_Layer_1,q_proj,1.127002
Encoder_Layer_1,q_proj,1.127002
Encoder_Layer_1,q_proj,1.1560879
Encoder_Layer_1,q_proj,1.1602478
Encoder_Layer_1,q_proj,1.1602478
Encoder_Layer_1,q_proj,1.0965596
Encoder_Layer_1,q_proj,1.0965596
Encoder_Layer_1,q_proj,1.1689925
Encoder_Layer_1,q_proj,1.1689925
Encoder_Layer_1,q_proj,1.1542234
Encoder_Layer_1,q_proj,1.1542234
Encoder_Layer_1,q_proj,1.166361
